obj_code,exemplar,background,location_index,shuffle,clicked,participant,correct_answer,corr_count
403,e3,t_background,9,0.0974486682,printer,ppn17,acousticguitar,0
403,e6,t_background,3,0.3284129126,acousticguitar,ppn17,acousticguitar,1
403,e7,a_background,5,0.391886986,acousticguitar,ppn17,acousticguitar,1
403,e9,t_background,2,0.4163117402,rockingchair,ppn17,acousticguitar,0
403,e1,a_background,7,0.732288118,canoe,ppn17,acousticguitar,0
403,e4,a_background,1,0.8916323722,acousticguitar,ppn17,acousticguitar,1
403,e2,w_background,8,0.9238759014,microphone,ppn17,acousticguitar,0
403,e5,w_background,6,0.928860189,acousticguitar,ppn17,acousticguitar,1
403,e8,w_background,4,0.9773353725,acousticguitar,ppn17,acousticguitar,1
405,e9,t_background,7,0.1051110006,airliner,ppn17,airliner,1
405,e7,a_background,1,0.1312185573,wallclock,ppn17,airliner,0
405,e4,a_background,4,0.3087819985,tablelamp,ppn17,airliner,0
405,e5,w_background,8,0.3631273721,pirateship,ppn17,airliner,0
405,e3,t_background,5,0.4068993446,laptop,ppn17,airliner,0
405,e8,w_background,3,0.4540960152,airliner,ppn17,airliner,1
405,e1,a_background,9,0.517603782,rockingchair,ppn17,airliner,0
405,e2,w_background,2,0.7110903727,airliner,ppn17,airliner,1
405,e6,t_background,6,0.7122857293,airliner,ppn17,airliner,1
436,e6,t_background,4,0.0151959164,bathtub,ppn17,bathtub,1
436,e2,w_background,5,0.0363729027,bathtub,ppn17,bathtub,1
436,e4,a_background,1,0.0645513587,mailbox,ppn17,bathtub,0
436,e1,a_background,8,0.2968406651,canoe,ppn17,bathtub,0
436,e3,t_background,7,0.3819799803,speedboat,ppn17,bathtub,0
436,e7,a_background,2,0.4838523282,bathtub,ppn17,bathtub,1
436,e5,w_background,9,0.6178667484,bathtub,ppn17,bathtub,1
436,e8,w_background,6,0.9078892403,bathtub,ppn17,bathtub,1
436,e9,t_background,3,0.9679471334,tablelamp,ppn17,bathtub,0
449,e2,w_background,3,0.0832959854,birdhouse,ppn17,birdhouse,1
449,e6,t_background,9,0.2486538864,birdhouse,ppn17,birdhouse,1
449,e5,w_background,6,0.4007520556,birdhouse,ppn17,birdhouse,1
449,e7,a_background,2,0.665941772,birdhouse,ppn17,birdhouse,1
449,e9,t_background,1,0.6948329084,airliner,ppn17,birdhouse,0
449,e8,w_background,4,0.7692005718,birdhouse,ppn17,birdhouse,1
449,e3,t_background,7,0.7806053349,parkbench,ppn17,birdhouse,0
449,e4,a_background,8,0.9179429332,chinacabinet,ppn17,birdhouse,0
449,e1,a_background,5,0.9287614346,birdhouse,ppn17,birdhouse,1
469,e3,t_background,6,0.2403982236,cab,ppn17,cab,1
469,e1,a_background,9,0.369468613,rockingchair,ppn17,cab,0
469,e8,w_background,5,0.376000089,cab,ppn17,cab,1
469,e5,w_background,3,0.4635562942,sportscar,ppn17,cab,0
469,e9,t_background,4,0.4778963345,speedboat,ppn17,cab,0
469,e2,w_background,1,0.4877024865,cab,ppn17,cab,1
469,e4,a_background,7,0.716271696,cab,ppn17,cab,1
469,e7,a_background,8,0.738046829,chinacabinet,ppn17,cab,0
469,e6,t_background,2,0.8528215211,cab,ppn17,cab,1
473,e2,w_background,2,0.071708582,speedboat,ppn17,canoe,0
473,e7,a_background,5,0.0864282923,microwave,ppn17,canoe,0
473,e1,a_background,4,0.3216316885,loudspeaker,ppn17,canoe,0
473,e9,t_background,1,0.3538228806,airliner,ppn17,canoe,0
473,e4,a_background,9,0.403138118,wallclock,ppn17,canoe,0
473,e5,w_background,8,0.4913069515,speedboat,ppn17,canoe,0
473,e3,t_background,6,0.6624078111,speedboat,ppn17,canoe,0
473,e6,t_background,7,0.7302026063,canoe,ppn17,canoe,1
473,e8,w_background,3,0.856528579,canoe,ppn17,canoe,1
488,e7,a_background,7,0.0829616506,microwave,ppn17,cellulartelephone,0
488,e9,t_background,3,0.0946850436,cellulartelephone,ppn17,cellulartelephone,1
488,e5,w_background,2,0.1374472373,cellulartelephone,ppn17,cellulartelephone,1
488,e8,w_background,5,0.1906013549,cellulartelephone,ppn17,cellulartelephone,1
488,e6,t_background,1,0.4876772032,wallclock,ppn17,cellulartelephone,0
488,e2,w_background,6,0.5388508477,cellulartelephone,ppn17,cellulartelephone,1
488,e1,a_background,8,0.6534944713,mailbox,ppn17,cellulartelephone,0
488,e3,t_background,9,0.7054700297,cellulartelephone,ppn17,cellulartelephone,1
488,e4,a_background,4,0.7207978036,mailbox,ppn17,cellulartelephone,0
496,e6,t_background,6,0.0059959279,tablelamp,ppn17,chinacabinet,0
496,e7,a_background,8,0.2299126452,chinacabinet,ppn17,chinacabinet,1
496,e3,t_background,7,0.3301293029,wallclock,ppn17,chinacabinet,0
496,e8,w_background,5,0.345664524,mailbox,ppn17,chinacabinet,0
496,e5,w_background,9,0.4185487255,wallclock,ppn17,chinacabinet,0
496,e9,t_background,2,0.4749161668,loudspeaker,ppn17,chinacabinet,0
496,e2,w_background,1,0.6632229603,chinacabinet,ppn17,chinacabinet,1
496,e1,a_background,3,0.6711635278,mailbox,ppn17,chinacabinet,0
496,e4,a_background,4,0.9737676545,grandpiano,ppn17,chinacabinet,0
535,e3,t_background,4,0.0190852474,dishwasher,ppn17,dishwasher,1
535,e8,w_background,3,0.1044387181,screen,ppn17,dishwasher,0
535,e5,w_background,8,0.2369371684,dishwasher,ppn17,dishwasher,1
535,e2,w_background,1,0.6833004621,loudspeaker,ppn17,dishwasher,0
535,e7,a_background,5,0.6836754289,dishwasher,ppn17,dishwasher,1
535,e1,a_background,7,0.6867179834,microwave,ppn17,dishwasher,0
535,e4,a_background,2,0.8339481127,dishwasher,ppn17,dishwasher,1
535,e9,t_background,6,0.9175487744,rockingchair,ppn17,dishwasher,0
535,e6,t_background,9,0.9863029234,dishwasher,ppn17,dishwasher,1
580,e4,a_background,1,0.415131093,parkbench,ppn17,grandpiano,0
580,e3,t_background,7,0.5222348839,grandpiano,ppn17,grandpiano,1
580,e6,t_background,8,0.6288162416,microwave,ppn17,grandpiano,0
580,e9,t_background,4,0.6602655235,chinacabinet,ppn17,grandpiano,0
580,e5,w_background,9,0.7583194776,grandpiano,ppn17,grandpiano,1
580,e2,w_background,3,0.8448939514,grandpiano,ppn17,grandpiano,1
580,e1,a_background,5,0.8520889173,grandpiano,ppn17,grandpiano,1
580,e7,a_background,2,0.8808603436,schoolbus,ppn17,grandpiano,0
580,e8,w_background,6,0.8909815272,grandpiano,ppn17,grandpiano,1
621,e6,t_background,6,0.1750443687,screen,ppn17,laptop,0
621,e8,w_background,1,0.1834044895,laptop,ppn17,laptop,1
621,e5,w_background,4,0.2692974168,laptop,ppn17,laptop,1
621,e1,a_background,3,0.2776851766,screen,ppn17,laptop,0
621,e9,t_background,8,0.2785495994,loudspeaker,ppn17,laptop,0
621,e4,a_background,7,0.3994120379,dishwasher,ppn17,laptop,0
621,e7,a_background,2,0.7426748439,laptop,ppn17,laptop,1
621,e2,w_background,9,0.765121406,microphone,ppn17,laptop,0
621,e3,t_background,5,0.9229259996,laptop,ppn17,laptop,1
628,e4,a_background,5,0.0351945509,limousine,ppn17,limousine,1
628,e5,w_background,3,0.4654517765,limousine,ppn17,limousine,1
628,e8,w_background,4,0.4961106025,limousine,ppn17,limousine,1
628,e7,a_background,7,0.5778292977,wallclock,ppn17,limousine,0
628,e1,a_background,6,0.6450046445,limousine,ppn17,limousine,1
628,e9,t_background,8,0.7358627376,limousine,ppn17,limousine,1
628,e2,w_background,1,0.7466951918,cab,ppn17,limousine,0
628,e6,t_background,2,0.9334346524,limousine,ppn17,limousine,1
628,e3,t_background,9,0.975769698,microphone,ppn17,limousine,0
633,e4,a_background,3,0.0140366864,dishwasher,ppn17,loudspeaker,0
