image,obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
D:\Yannick\taak_Noor\humanstim\humanstim\403\e1\a_background\loc7\image043.png,403,e1,a_background,7,pirateship,ppn18,acousticguitar,0
D:\Yannick\taak_Noor\humanstim\humanstim\403\e2\t_background\loc8\image011.png,403,e2,t_background,8,pirateship,ppn18,acousticguitar,0
D:\Yannick\taak_Noor\humanstim\humanstim\403\e3\w_background\loc9\image002.png,403,e3,w_background,9,acousticguitar,ppn18,acousticguitar,1
D:\Yannick\taak_Noor\humanstim\humanstim\403\e4\a_background\loc1\image034.png,403,e4,a_background,1,pirateship,ppn18,acousticguitar,0
D:\Yannick\taak_Noor\humanstim\humanstim\403\e5\t_background\loc6\image002.png,403,e5,t_background,6,pirateship,ppn18,acousticguitar,0
D:\Yannick\taak_Noor\humanstim\humanstim\403\e6\w_background\loc3\image002.png,403,e6,w_background,3,acousticguitar,ppn18,acousticguitar,1
D:\Yannick\taak_Noor\humanstim\humanstim\403\e7\a_background\loc5\image040.png,403,e7,a_background,5,acousticguitar,ppn18,acousticguitar,1
D:\Yannick\taak_Noor\humanstim\humanstim\403\e8\t_background\loc4\image013.png,403,e8,t_background,4,acousticguitar,ppn18,acousticguitar,1
D:\Yannick\taak_Noor\humanstim\humanstim\403\e9\w_background\loc2\image002.png,403,e9,w_background,2,acousticguitar,ppn18,acousticguitar,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e1\a_background\loc9\image017.png,405,e1,a_background,9,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e2\t_background\loc2\image001.png,405,e2,t_background,2,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e3\w_background\loc5\image005.png,405,e3,w_background,5,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e4\a_background\loc4\image027.png,405,e4,a_background,4,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e5\t_background\loc8\image007.png,405,e5,t_background,8,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e6\w_background\loc6\image005.png,405,e6,w_background,6,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e7\a_background\loc1\image023.png,405,e7,a_background,1,birdhouse,ppn18,airliner,0
D:\Yannick\taak_Noor\humanstim\humanstim\405\e8\t_background\loc3\image005.png,405,e8,t_background,3,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\405\e9\w_background\loc7\image005.png,405,e9,w_background,7,airliner,ppn18,airliner,1
D:\Yannick\taak_Noor\humanstim\humanstim\436\e1\a_background\loc8\image104.png,436,e1,a_background,8,microwave,ppn18,bathtub,0
D:\Yannick\taak_Noor\humanstim\humanstim\436\e2\t_background\loc5\image023.png,436,e2,t_background,5,bathtub,ppn18,bathtub,1
D:\Yannick\taak_Noor\humanstim\humanstim\436\e3\w_background\loc7\image065.png,436,e3,w_background,7,bathtub,ppn18,bathtub,1
D:\Yannick\taak_Noor\humanstim\humanstim\436\e4\a_background\loc1\image142.png,436,e4,a_background,1,pirateship,ppn18,bathtub,0
D:\Yannick\taak_Noor\humanstim\humanstim\436\e5\t_background\loc9\image065.png,436,e5,t_background,9,pirateship,ppn18,bathtub,0
D:\Yannick\taak_Noor\humanstim\humanstim\436\e6\w_background\loc4\image065.png,436,e6,w_background,4,speedboat,ppn18,bathtub,0
D:\Yannick\taak_Noor\humanstim\humanstim\436\e7\a_background\loc2\image160.png,436,e7,a_background,2,wallclock,ppn18,bathtub,0
D:\Yannick\taak_Noor\humanstim\humanstim\436\e8\t_background\loc6\image011.png,436,e8,t_background,6,tablelamp,ppn18,bathtub,0
D:\Yannick\taak_Noor\humanstim\humanstim\436\e9\w_background\loc3\image065.png,436,e9,w_background,3,speedboat,ppn18,bathtub,0
D:\Yannick\taak_Noor\humanstim\humanstim\449\e1\a_background\loc5\image033.png,449,e1,a_background,5,birdhouse,ppn18,birdhouse,1
D:\Yannick\taak_Noor\humanstim\humanstim\449\e2\t_background\loc3\image017.png,449,e2,t_background,3,birdhouse,ppn18,birdhouse,1
D:\Yannick\taak_Noor\humanstim\humanstim\449\e3\w_background\loc7\image003.png,449,e3,w_background,7,birdhouse,ppn18,birdhouse,1
D:\Yannick\taak_Noor\humanstim\humanstim\449\e4\a_background\loc8\image041.png,449,e4,a_background,8,pirateship,ppn18,birdhouse,0
