obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
403,e2,a_background,7,cellulartelephone,ppn26,acousticguitar,0
403,e5,a_background,5,acousticguitar,ppn26,acousticguitar,1
403,e8,a_background,9,printer,ppn26,acousticguitar,0
403,e6,t_background,2,remote,ppn26,acousticguitar,0
403,e3,t_background,8,acousticguitar,ppn26,acousticguitar,1
403,e9,t_background,3,acousticguitar,ppn26,acousticguitar,1
403,e1,w_background,6,acousticguitar,ppn26,acousticguitar,1
403,e7,w_background,1,acousticguitar,ppn26,acousticguitar,1
403,e4,w_background,4,acousticguitar,ppn26,acousticguitar,1
405,e5,a_background,9,tablelamp,ppn26,airliner,0
405,e8,a_background,7,tablelamp,ppn26,airliner,0
405,e2,a_background,1,pirateship,ppn26,airliner,0
405,e9,t_background,4,canoe,ppn26,airliner,0
405,e3,t_background,8,airliner,ppn26,airliner,1
405,e6,t_background,3,airliner,ppn26,airliner,1
405,e4,w_background,5,airliner,ppn26,airliner,1
405,e7,w_background,6,airliner,ppn26,airliner,1
405,e1,w_background,2,airliner,ppn26,airliner,1
436,e8,a_background,2,schoolbus,ppn26,bathtub,0
436,e5,a_background,8,cellulartelephone,ppn26,bathtub,0
436,e2,a_background,1,pirateship,ppn26,bathtub,0
436,e6,t_background,5,bathtub,ppn26,bathtub,1
436,e9,t_background,7,bathtub,ppn26,bathtub,1
436,e3,t_background,4,dishwasher,ppn26,bathtub,0
436,e7,w_background,6,bathtub,ppn26,bathtub,1
436,e4,w_background,9,bathtub,ppn26,bathtub,1
436,e1,w_background,3,loudspeaker,ppn26,bathtub,0
449,e2,a_background,5,birdhouse,ppn26,birdhouse,1
449,e5,a_background,2,wallclock,ppn26,birdhouse,0
449,e8,a_background,3,wallclock,ppn26,birdhouse,0
449,e3,t_background,4,airliner,ppn26,birdhouse,0
449,e9,t_background,9,sportscar,ppn26,birdhouse,0
449,e6,t_background,7,acousticguitar,ppn26,birdhouse,0
449,e7,w_background,6,birdhouse,ppn26,birdhouse,1
449,e4,w_background,8,birdhouse,ppn26,birdhouse,1
449,e1,w_background,1,birdhouse,ppn26,birdhouse,1
469,e5,a_background,9,laptop,ppn26,cab,0
469,e2,a_background,5,sportscar,ppn26,cab,0
469,e8,a_background,1,sportscar,ppn26,cab,0
469,e6,t_background,7,cab,ppn26,cab,1
469,e9,t_background,6,cab,ppn26,cab,1
469,e3,t_background,4,canoe,ppn26,cab,0
469,e7,w_background,2,sportscar,ppn26,cab,0
469,e1,w_background,3,cellulartelephone,ppn26,cab,0
469,e4,w_background,8,sportscar,ppn26,cab,0
473,e5,a_background,1,tablelamp,ppn26,canoe,0
473,e2,a_background,2,tablelamp,ppn26,canoe,0
473,e8,a_background,5,rockingchair,ppn26,canoe,0
473,e6,t_background,3,remote,ppn26,canoe,0
473,e9,t_background,4,canoe,ppn26,canoe,1
473,e3,t_background,8,speedboat,ppn26,canoe,0
473,e7,w_background,7,limousine,ppn26,canoe,0
473,e1,w_background,6,airliner,ppn26,canoe,0
473,e4,w_background,9,speedboat,ppn26,canoe,0
488,e5,a_background,1,tablelamp,ppn26,cellulartelephone,0
488,e8,a_background,4,cellulartelephone,ppn26,cellulartelephone,1
488,e2,a_background,8,screen,ppn26,cellulartelephone,0
488,e9,t_background,7,laptop,ppn26,cellulartelephone,0
488,e6,t_background,5,loudspeaker,ppn26,cellulartelephone,0
488,e3,t_background,2,cellulartelephone,ppn26,cellulartelephone,1
488,e1,w_background,9,cellulartelephone,ppn26,cellulartelephone,1
488,e7,w_background,6,cellulartelephone,ppn26,cellulartelephone,1
488,e4,w_background,3,cellulartelephone,ppn26,cellulartelephone,1
496,e8,a_background,1,schoolbus,ppn26,chinacabinet,0
496,e2,a_background,7,speedboat,ppn26,chinacabinet,0
496,e5,a_background,9,parkbench,ppn26,chinacabinet,0
496,e3,t_background,8,wallclock,ppn26,chinacabinet,0
496,e6,t_background,3,chinacabinet,ppn26,chinacabinet,1
496,e9,t_background,2,birdhouse,ppn26,chinacabinet,0
496,e7,w_background,4,birdhouse,ppn26,chinacabinet,0
496,e4,w_background,6,chinacabinet,ppn26,chinacabinet,1
496,e1,w_background,5,chinacabinet,ppn26,chinacabinet,1
535,e8,a_background,7,laptop,ppn26,dishwasher,0
535,e5,a_background,6,rockingchair,ppn26,dishwasher,0
535,e2,a_background,1,cellulartelephone,ppn26,dishwasher,0
535,e3,t_background,5,tablelamp,ppn26,dishwasher,0
535,e9,t_background,4,chinacabinet,ppn26,dishwasher,0
535,e6,t_background,2,wallclock,ppn26,dishwasher,0
535,e1,w_background,3,birdhouse,ppn26,dishwasher,0
535,e4,w_background,8,microwave,ppn26,dishwasher,0
535,e7,w_background,9,grandpiano,ppn26,dishwasher,0
580,e8,a_background,5,mailbox,ppn26,grandpiano,0
580,e5,a_background,2,cab,ppn26,grandpiano,0
580,e2,a_background,3,rockingchair,ppn26,grandpiano,0
580,e3,t_background,6,wallclock,ppn26,grandpiano,0
580,e9,t_background,8,tablelamp,ppn26,grandpiano,0
580,e6,t_background,9,cellulartelephone,ppn26,grandpiano,0
580,e7,w_background,7,remote,ppn26,grandpiano,0
580,e1,w_background,4,pirateship,ppn26,grandpiano,0
580,e4,w_background,1,cellulartelephone,ppn26,grandpiano,0
621,e8,a_background,5,laptop,ppn26,laptop,1
621,e5,a_background,6,laptop,ppn26,laptop,1
621,e2,a_background,9,cellulartelephone,ppn26,laptop,0
621,e3,t_background,1,printer,ppn26,laptop,0
621,e6,t_background,2,laptop,ppn26,laptop,1
621,e9,t_background,4,laptop,ppn26,laptop,1
621,e1,w_background,7,laptop,ppn26,laptop,1
